question_id,question,answer,passage,passage_id,rag_summary,FK_grade
7836,Does short-term oxygen administration restore blunted baroreflex sensitivity in patients with type 1 diabetes?,The increased response to hyperoxia suggests a pre-existing condition of tissue hypoxia that functionally restrains parasympathetic activity in patients with type 1 diabetes. Autonomic abnormalities can be partially and temporarily reversed by functional manoeuvres such as slow breathing or oxygen administration through enhancement of parasympathetic activity and/or correction of tissue hypoxia.,"We hypothesised that the blunted baroreflex sensitivity (BRS) typical of type 1 diabetes is caused by a higher degree of tissue hypoxia in diabetes, and tested whether oxygen increased BRS and ventilation less, equally or more than in healthy control participants (the latter suggesting higher tissue hypoxia). In addition, we also considered the possible interference between oxygen and breathing pattern. In 96 participants with type 1 diabetes and 40 age-matched healthy controls, we measured BRS (average of six different standard methods), oxygen saturation, end-tidal carbon dioxide and ventilation changes during spontaneous and controlled breathing at 15 and six breaths/min, in normoxia and during 5 l/min oxygen administration.",26570,Short-term oxygen administration restores BRS in patients with type 1 diabetes.,13.372727272727271
7837,Does psychological screening in adolescents with type 1 diabetes predict outcomes one year later?,Psychological screeners predict diabetes outcomes one year later. Future clinical research studies should explore whether psychological screening and referral for appropriate intervention can prevent deteriorations in diabetes management and control commonly seen during adolescence.,"Adolescents with type 1 diabetes are at increased risk for depression and anxiety, which can adversely affect diabetes management, glycemic control, and quality of life (QOL). However, systematic psychological screening is rarely employed. We hypothesized that higher depression and anxiety screener scores would predict higher HbA1c, less frequent blood glucose monitoring (BGM), and poorer QOL one year later.",26573,"Depression and anxiety screener scores predict higher HbA1c, less frequent BGM, and poorer QOL one year later.",10.47529411764706
7838,Is skin autofluorescence inversely related to HDL anti-oxidative capacity in type 2 diabetes mellitus?,These findings suggest that skin AF is inversely related to the HDL anti-oxidative capacity rather than to the HDL cholesterol concentration in T2DM. Impaired anti-oxidative functionality of HDL could contribute to tissue accumulation of AGEs.,"High density lipoprotein (HDL) particles protect apolipoprotein B-containing lipoproteins from oxidative modification. An impaired anti-oxidative functionality of HDL in type 2 diabetes mellitus (T2DM) may contribute to enhanced formation of oxidative stress products, such as Advanced Glycation Endproducts (AGEs). We tested whether in T2DM the HDL anti-oxidative capacity is related to the accumulation of AGEs in the skin.",26576,Skin autofluorescence correlates inversely with HDL anti-oxidative capacity in type 2 diabetes mellitus,18.52615384615385
7839,Is colonic GLP-2 sufficient to promote jejunal adaptation in a PN-dependent rat model of human short bowel syndrome?,"After bowel resection resulting in SBS in the rat, peak proglucagon, plasma GLP-2, and GLP-2 receptor levels are insufficient to promote jejunal adaptation. The colon adapts with resection, expresses proglucagon, and should be preserved when possible in massive intestinal resection.","Bowel resection may lead to short bowel syndrome (SBS), which often requires parenteral nutrition (PN) due to inadequate intestinal adaptation. The objective of this study was to determine the time course of adaptation and proglucagon system responses after bowel resection in a PN-dependent rat model of SBS. Rats underwent jugular catheter placement and a 60% jejunoileal resection + cecectomy with jejunoileal anastomosis or transection control surgery.",26579,Glucagon-like peptide-2 (GLP-2) is sufficient to promote intestinal adaptation following massive small bowel resection in a PN-dependent rat model of SBS.,16.2
7840,Is childhood hypo-adiponectinaemia but not hyper-leptinaemia associated with insulin insensitivity 6 years later?,We found a direct relationship between childhood hypo-adiponectinaemia and insulin insensitivity in adolescence. This association was stronger for overweight than for normal weight children. Hyper-leptinaemia was associated with concurrent insulin insensitivity at baseline but not 6 yr later.,"Biomarkers of metabolism and inflammation may predict children with increased diabetes risk. To study plasma adiponectin, leptin, IL-8, and hepatocyte growth factor (HGF) in childhood and their independent associations with insulin insensitivity, cross-sectional and in 6-yr prospective. Danish 8- to 10-yr-olds and 14- to 16-yr-olds from the European Youth Heart Studies I and II.",26584,Serum adiponectin and leptin levels are independently associated with insulin sensitivity 6 years later.,16.84142857142857
7841,Does intensive glucose-lowering therapy reduce cardiovascular disease events in veterans affairs diabetes trial participants with lower calcified coronary atherosclerosis?,These data indicate that intensive glucose lowering reduces cardiovascular events in those with less extensive calcified coronary atherosclerosis.,"This study investigated the hypothesis that baseline calcified coronary atherosclerosis may determine cardiovascular disease events in response to intensive glycemic control within the Veterans Affairs Diabetes Trial (VADT). At baseline, 301 type 2 diabetic participants in the VADT, a randomized trial comparing the effects of intensive versus standard glucose lowering on cardiovascular events, had baseline coronary atherosclerosis assessed by coronary artery calcium (CAC) measured by computed tomography. Participants were followed over the 7.5-year study for development of cardiovascular end points.",26588,Glucose lowering therapy reduces cardiovascular disease events in veterans affairs diabetes trial participants with lower calcified coronary atherosclerosis.,26.17444444444445
7842,Is genetic variant in HK1 associated with a proanemic state and A1C but not other glycemic control-related traits?,"HK1 variation, although strongly associated with A1C, does not seem to be involved in blood glucose control. Since HK1 rs7072268 is associated with reduced hemoglobin levels and favors anemia, we propose that HK1 may influence A1C levels through its anemic effect or its effect on glucose metabolism in RBCs. These findings may have implications for type 2 diabetes diagnosis and clinical management because anemia is a frequent complication of the diabetes state.","A1C is widely considered the gold standard for monitoring effective blood glucose levels. Recently, a genome-wide association study reported an association between A1C and rs7072268 within HK1 (encoding hexokinase 1), which catalyzes the first step of glycolysis. HK1 deficiency in erythrocytes (red blood cells [RBCs]) causes severe nonspherocytic hemolytic anemia in both humans and mice.",26591,A strong association of SLC30A8 with type 2 diabetes in Han Chinese.,8.756666666666668
7843,Does discontinuation of hormone replacement therapy in young GH-treated hypopituitary women increase liver enzymes?,"Short time discontinuation of HRT in young hypopituitary women increased liver enzymes, whereas measures of insulin sensitivity and lipid levels remained unchanged. We speculate that the estrogen component of HRT has beneficial effects on hepatic metabolism through various pathways. Further studies including liver imaging and with a time-dependent design are needed to clarify the role of HRT on liver enzyme levels, metabolic variables and liver fat content.","Hypopituitarism, often characterized by hypogonadism, is associated with central obesity, increased cardiovascular and endocrine morbidity and mortality. In Turner syndrome, which is also characterized by hypogonadism liver enzymes are often elevated, but readily suppressed by a short course of hormone replacement therapy (HRT). We investigated the effect of HRT on liver enzymes, lipid levels and measures of insulin sensitivity 26 in hypopituitary women.",26595,Gender related differences in the response to hormone replacement therapy in young GH-treated hypopituitary women.,15.433333333333337
7844,Does hyperglycemia-related mortality in critically ill patients vary with admission diagnosis?,The association between hyperglycemia and mortality implicates hyperglycemia as a potentially harmful and correctable abnormality in critically ill patients. The finding that hyperglycemia-related risk varied with admission diagnosis suggests differences in the interaction between specific medical conditions and injury from hyperglycemia. The design and interpretation of future trials should consider the primary disease states of patients and the balance of medical conditions in the intensive care unit studied.,"Hyperglycemia during critical illness is common and is associated with increased mortality. Intensive insulin therapy has improved outcomes in some, but not all, intervention trials. It is unclear whether the benefits of treatment differ among specific patient populations.",26598,Hyperglycemia at admission is associated with adverse outcome in critically ill trauma patients.,14.895384615384618
7845,Is prehypertension associated with insulin resistance?,"Our data show that prehypertension is associated with IR. The subjects with prehypertension have clinical characteristics of the IR syndrome. It seems that the prehypertension group cannot handle oral glucose challenge as well as the normotension, probably a consequence of IR in prehypertension.","Prehypertension, a new category of blood pressure (BP) classification introduced by The Seven Report of the Joint National Commission (JNC-7) on High BP for individuals with systolic BP in the range of 120-139 mmHg or diastolic BP between 80 and 89 mmHg, is a strong predictor for the development of hypertension. Insulin resistance (IR) has been proposed to be a key feature of metabolic abnormalities of hypertension and may precede the elevation of BP. The purpose of the study is to evaluate whether prehypertension is associated with IR.",26603,Prehypertension is associated with insulin resistance,22.15000000000001
7846,Are low-density lipoprotein levels one of the independent determinants of circulating levels of advanced glycation end products in nondiabetic subjects?,The present study is the first demonstration that LDL-C levels are one of the independent determinants of serum levels of AGEs in a nondiabetic general population. Intake of cholesterol-rich foods may regulate serum levels of AGEs in nondiabetic subjects.,"Nonenzymatic modification of proteins by reducing sugars leads to the formation of advanced glycation end products (AGEs), whose process has been reported to progress under diabetes. Recently, diet has been found to be a major environmental source of proinflammatory AGEs in humans. Further, fats or meat-derived products processed by high heat such as broiling have been shown to contain more AGEs than carbohydrates boiled for longer periods.",26606,Low-density lipoprotein levels are independent determinants of circulating levels of advanced glycation end products in nondiabetic subjects.,20.88705882352941
7847,Is breast arterial calcification a predictive factor of cardiovascular disease in Brazilian postmenopausal women?,"In postmenopausal women, breast arterial calcification may represent a higher likelihood of cardiovascular disease.","The objectives of this study were to evaluate the association between cardiovascular disease (CVD) and breast arterial calcification (BAC), as well as the prevalence rates of these conditions in Brazilian postmenopausal women. A cross-sectional study was performed in 307 women over 40 years of age who were receiving care at the gynecology clinic of the Center for Women's Integrated Healthcare (CAISM), ABC School of Medicine. All these women had been amenorrheic for at least 12 months and had undergone mammography in the preceding 12 months.",26609,Mammographic breast calcification is a predictor of cardiovascular disease in Brazilian postmenopausal women.,18.52615384615385
7848,"Are dietary glycemic load, glycemic index, and refined grains intake associated with reduced beta-cell function in prediabetic Japanese migrants?","These data suggested that dietary glycemic load, glycemic index, and refined grains intakes are associated with reduced beta-cell function, and the quality of dietary carbohydrates may be relevant for maintaining beta-cell function among individuals with IGT.",To investigate the association between carbohydrate intakes and beta-cell function (HOMA-beta) in Japanese-Brazilians with impaired glucose tolerance (IGT). Dietary intakes were assessed by a validated food frequency questionnaire in a cross-sectional survey carried out in 2000. The associations between diet and HOMA-beta were verified in 270 newly diagnosed IGT in multiple linear regression models.,26613,"Dietary glycemic load, glycemic index, and refined grains intake are associated with impaired glucose tolerance in Japanese-Brazilians with impaired glucose tolerance.",18.447619047619053
7849,Is the Y402H variant of complement factor H associated with age-related macular degeneration but not with diabetic retinal disease in the Go-DARTS study?,"The ARMD-associated Y402H variant in CFH does not appear to be associated with diabetic retinal disease, although complement activation is involved in the pathoaetiology of both conditions.","The Y402H variant of complement factor H (CFH) is associated with risk of age-related macular degeneration (ARMD). In common with ARMD, diabetic retinal disease also appears to involve complement activation. The aim was to investigate the impact of Y402H on both retinal pathologies in patients with Type 2 diabetes (T2DM) undergoing systematic eye screening.",26616,The Y402H variant of complement factor H is associated with risk of age-related macular degeneration but not with diabetic retinal disease.,17.323809523809526
7850,Is abnormal retinal autoregulation detected by provoked stimulation with flicker light in well-controlled patients with type 1 diabetes without retinopathy?,Diabetic patients without retinopathy with relatively good glycemic control show reduced retinal vasodilation after flicker indicating dysfunction in retinal autoregulation. The use of provocation test in conjunction with static analysis could lead to additional information regarding abnormal retinal autoregulation.,Investigation of retinal vasodilation under flickering light is considered a dynamic analysis in contrast to the static analysis of retinal vessel equivalents (mean retinal vessel diameter). We investigated whether dynamic analysis apart from the static one in type 1 diabetic patients without diabetic retinopathy with well-controlled diabetes could lead to additional information regarding retinal autoregulation. 18 normotensive type 1 diabetic patients without retinopathy and 19 healthy subjects were included.,26619,Dynamic analysis of retinal vasodilation under flickering light may lead to additional information regarding retinal autoregulation.,22.3625
7851,Is cardiomyopathy in offspring of diabetic rats associated with activation of the MAPK and apoptotic pathways?,"The degree of maternal hyperglycemia determines the type of cardiomyopathy seen in the offspring, while resolution of both the hypertrophic and dilated cardiomyopathies is associated with activation of MAPK signaling and apoptotic pathways.",Maternal diabetes affects the developing fetal cardiovascular system. Newborn offspring of diabetic mothers can have a transient cardiomyopathy. We hypothesized that cardiomyopathic remodeling is associated with activation of the mitogen activated protein kinase (MAPK) signaling and apoptotic pathways.,26623,We hypothesized that cardiomyopathic remodeling is associated with activation of the mitogen activated protein kinase (MAPK) signaling and apoptotic pathways.,21.120000000000008
7852,Do genetic variants of the ENPP1/PC-1 gene are associated with hypertriglyceridemia in male subjects?,"In the present study, we find that genetic variants of the ENPP1/PC-1 gene are associated with hypertriglyceridemia in male subjects, and may contribute to the development of the insulin resistance/metabolic syndrome in this population.","Hypertriglyceridemia is associated with insulin resistance, type 2 diabetes, and the metabolic syndrome. Membrane glycoprotein PC-1 (also termed ENPP1) is a direct insulin receptor inhibitor, and certain polymorphisms of the ENPP1/PC-1 gene have been associated with insulin resistance, type 2 diabetes, obesity, and diabetic complications. We examined the effect of 3 ENPP1/PC-1 variants (K121Q, rs1044498, and IVS20delT-11, rs1799774, and A-->G+1044TGA, rs7754561) on plasma triglyceride levels in 1112 subjects of non-Hispanic American white European ancestry.",26627,"Two of the ENPP1/PC-1 variants (K121Q, rs1044498, IVS20delT-11, rs1799774, and A-->G+1044TGA, rs7754561) were significantly associated with hypertriglyceridemia.",12.55764705882353
7853,Does insulin detemir cause increased symptom awareness during hypoglycaemia compared to human insulin?,"Insulin detemir increased symptom awareness during hypoglycaemia compared to human insulin in healthy individuals, whereas counter-regulatory hormone response and cognitive function were unaltered.","The long-acting insulin analogue detemir (Levemir) has structural and physicochemical properties which differ from human insulin. The aim of the present study was to test whether this leads to altered hormone and symptom response during hypoglycaemia. 12 healthy subjects [6f/6m, age 32 ± 6 years (mean ± s.d.",26630,Long-acting insulin analogue detemir has structural and physicochemical properties which differ from human insulin.,17.684285714285718
7854,Does alkalinization of urine samples preserve albumin concentrations during prolonged frozen storage in patients with diabetes mellitus?,Urine alkalinization to pH > 8.0 prevents the decline in UAC associated with 12 months of frozen storage at -20 degrees C and results in lower variation between samples after storage.,"In epidemiological studies in patients with diabetes, urine samples are often stored frozen prior to assessment of urinary albumin concentration (UAC). However, prolonged frozen storage may result in a falsely low UAC. In the current study, we investigated whether adjustment of urinary pH to alkaline values prior to frozen storage can prevent this problem.",26634,Adjustment of urinary pH to alkaline values prior to frozen storage can prevent falsely low UAC.,12.775000000000002
7855,Does endothelial cell signalling support pancreatic beta cell function in the rat?,This study provides proof of principle that endothelial cells can affect the function of beta cells in their vicinity and that this is at least partially mediated by laminins.,"The proximity of endothelial cells and beta cells in islets by necessity means that they are exposed to each other's products. Whereas islet endothelial cells require signals from beta cells to function properly, endothelin-1, thrombospondin-1 and laminins, among others, have been identified as endothelial-derived molecules, although their full effects on beta cells have not been explored. We tested the hypothesis that islet endothelial-derived products affect beta cell function.",26638,Our results suggest that endothelial cell signalling supports pancreatic beta cell function in diabetic rats.,14.646666666666672
7856,Does cotransplantation with xenogenetic neonatal porcine sertoli cells significantly prolong islet allograft survival in nonimmunosuppressive rats?,These data suggest that xenogeneic Sertoli cells exert a global immune suppressive effect that extends across species barriers in a stringent model of alloimmune rejection. The combination of NPSCs with other immune modulatory regimes may yield novel approaches toward prevention of allo-islet transplant rejection.,"In addition to possessing immune privileged properties, Sertoli cells are known to actively suppress responses to cotransplanted cells. An important question is whether this ""bystander suppression"" is limited to cells of the same origin as the Sertoli cells or whether suppression extends to unrelated cells. Neonatal porcine Sertoli cells (NPSCs) were transplanted with allogeneic islets (Sprague-Dawley rat) into immune competent Wistar rats subsequent to induction of diabetes by alloxan administration.",26642,"In a large preclinical animal model, fetal porcine pancreas fragments can provide a limitless source of -cells that survive transplantation into a neovascularised site and provide normal blood glucose control",17.743333333333336
7857,Does adiponectin have different mechanisms in type 1 and type 2 diabetes with C-peptide link?,"Adiponectin levels were higher in type 1 diabetes. The association between C-peptide and adiponectin is probably one of the reasons for their different respective levels in different types of diabetes. Interrelations between adiponectin and inflammation, dyslipidemia, C-peptide levels and sex appear to be important for complex adiponectin modulation and action.","Adiponectin (ApN) is considered to be responsible for reduction of inflammation and is known to be included in lipid metabolism. This study was designed to assess the role of adiponectin in patients with type 1 and type 2 diabetes and to determine parameters important in the prediction of adiponectin. Adiponectin, high sensitive C-reactive protein, fibrinogen, homocysteine, C-peptide, and lipid panel in addition to clinical and laboratory parameters important for the definition of diabetes, obesity and the metabolic syndrome were measured in 118 patients.",26645,The adiponectin axis in type 1 and type 2 diabetes with C-peptide link.,5.818461538461541
7858,Is healthy living the best revenge?,Adhering to 4 simple healthy lifestyle factors can have a strong impact on the prevention of chronic diseases.,"Our objective was to describe the reduction in relative risk of developing major chronic diseases such as cardiovascular disease, diabetes, and cancer associated with 4 healthy lifestyle factors among German adults. We used data from 23,153 German participants aged 35 to 65 years from the European Prospective Investigation Into Cancer and Nutrition-Potsdam study. End points included confirmed incident type 2 diabetes mellitus, myocardial infarction, stroke, and cancer.",26648,no significant improvement of health related quality of life,11.520000000000003
7859,Does overexpression of thioredoxin in islets transduced by a lentiviral vector prolong graft survival in autoimmune diabetic NOD mice?,We successfully transduced the TRX gene into islets and demonstrated that these genetically modified grafts are resistant to inflammatory insult and survived longer in diabetic recipients. Our results further support the concept that the reactive oxygen species (ROS) scavenger and antiapoptotic functions of TRX are critical to islet survival after transplantation.,"Pancreatic islet transplantation is considered an appropriate treatment to achieve insulin independence in type I diabetic patients. However, islet isolation and transplantation-induced oxidative stress and autoimmune-mediated destruction are still the major obstacles to the long-term survival of graft islets in this potential therapy. To protect islet grafts from inflammatory damage and prolong their survival, we transduced islets with an antioxidative gene thioredoxin (TRX) using a lentiviral vector before transplantation.",26651,Protect islet grafts from oxidative damage and prolong their survival.,9.55
7860,"Is visceral fat dominant distribution in male type 2 diabetic patients closely related to hepatic insulin resistance, irrespective of body type?","We conclude that, independent of the individual's body type, visceral fat dominant accumulation as opposed to subcutaneous fat accumulation is associated with hepatic insulin resistance, whereas peripheral (muscle) insulin resistance is more closely related to general obesity (i.e. higher BMI and total FM, and increased abdominal SF and VF) in male patients with type 2 diabetes.","All previous studies that investigated the association between abdominal fat distribution and insulin resistance evaluated subcutaneous and visceral fat area and/or volume, but these values were not related to the body type of each subject. In the present study we have examined the association between abdominal fat distribution and peripheral (muscle)/hepatic sensitivity to insulin using the visceral to abdominal subcutaneous fat area ratio (VF/SF ratio) in male patients with type 2 diabetes mellitus. This ratio defines the predominancy of visceral or subcutaneous abdominal adiposity, independent of the body type of each individual.",26655,"The VF/SF ratio defines the predominancy of visceral or subcutaneous abdominal adiposity, independent of the body type of each individual.",19.349999999999998
7861,Does pPARgamma2 protect against obesity by means of a mechanism that mediates insulin resistance?,These data show that PPARgamma2 mRNA is expressed differently in the two types of MO patients and is associated with IR.,"Many studies have focused on the physiological parameters and genetic predisposition of subjects presenting both obesity and insulin resistance (IR) and it has been suggested that the peroxisome proliferator-activated receptor gamma 2 (PPARgamma2) Pro12Ala variant may contribute to the observed variability in insulin sensitivity. We investigated whether the PPARgamma2 mRNA expression levels are associated with IR in morbid obesity in adipose and muscle tissues. In this study, tissue biopsies were obtained from 26 morbidly obese (MO) patients and eight controls.",26658,PPARgamma2 mRNA expression levels are associated with insulin resistance in morbid obesity.,17.606666666666666
7862,Does intensive insulin therapy decrease urinary MCP-1 and ICAM-1 excretions in incipient diabetic nephropathy?,Intensive insulin treatment may protect against renal injury in early DN by reducing the urinary MCP-1 and ICAM-1 excretions.,"Nowadays, intensive insulin treatment has been widely used in type 2 diabetics who have poor control of blood glucose, to reduce the risk of chronic complications of diabetes. Recently, some scholars have paid more attention to the pivotal role of inflammation involved in type 2 diabetes and its complications. Monocyte chemoattractant protein-1 (MCP-1) and intercellular adhesion molecule-1 (ICAM-1), which are two important inflammatory chemokines, have been documented to participate in the onset and development of type 2 diabetes and its complications, such as diabetic nephropathy (DN).",26662,Increased urinary MCP-1 and ICAM-1 excretions in type 2 diabetics with microalbuminuria.,13.673333333333336
7863,Does intestinal electrical stimulation decrease postprandial blood glucose levels in rats?,These results suggest that IES applied to the duodenum can reduce postprandial blood glucose levels. The possible etiology is the modulating of gastric emptying and intestinal flow rate.,Reducing postprandial blood glucose concentrations in diabetic patients might contribute to optimal glycemic control. Gastrointestinal electrical stimulation has been proposed as a novel therapy for both gastrointestinal motility disorders and obesity. The present study investigated the effects and underlying mechanisms of intestinal electrical stimulation (IES) on postprandial blood glucose levels in rats.,26665,Effects of intestinal electrical stimulation on postprandial blood glucose levels in diabetic rats.,17.618461538461542
7864,Is thyroid-stimulating hormone associated with insulin resistance independently of body mass index and age in women with polycystic ovary syndrome?,"In women with PCOS, a significant association between thyroid function, as reflected by TSH ≥ 2 mIU/l, and IR was found and the association appeared to be independent of age and BMI.","The aim of this study was to evaluate the association between thyroid function, reflected by thyroid-stimulating hormone (TSH) levels, and insulin resistance (IR) in 337 women suffering from polycystic ovary syndrome (PCOS). Clinical, metabolic and endocrine parameters were obtained and an oral glucose tolerance test was performed, with calculation of IR indices. The association between thyroid function and IR was evaluated with classification analysis using logistic regression and 10-fold cross-validation to identify a possible TSH threshold for IR.",26669,TSH levels are associated with insulin resistance independently of body mass index and age in women with polycystic ovary syndrome.,16.4
7865,Does increased urine IgM excretion predict cardiovascular events in patients with type 1 diabetes nephropathy?,"An increase in urinary IgM excretion in patients with type 1 diabetes is associated with an increased risk for cardiovascular mortality and renal failure, regardless of the degree of albuminuria.","Diabetic nephropathy, a major complication of diabetes, is characterized by progressive renal injury and increased cardiovascular mortality. An increased urinary albumin excretion due dysfunction of the glomerular barrier is an early sign of diabetic nephropathy. An increased urinary excretion of higher molecular weight proteins such as IgM appears with progression of glomerular injury.",26672,Increased urinary IgM excretion predicts cardiovascular events in patients with type 1 diabetic nephropathy.,16.84142857142857
7866,Is perinatal survivin essential for the establishment of pancreatic beta cell mass in mice?,Survivin expression in the pancreatic islets during the perinatal remodelling period is essential for the establishment of beta cell mass through cell cycle regulation.,"Pancreatic beta cells undergo dynamic remodelling during the perinatal period, with enhanced neogenesis, proliferation and apoptosis observed. The molecular mechanisms responsible for these processes have yet to be elucidated. Survivin is an inhibitor of apoptosis, first described as being exclusively expressed in tumour and embryonic tissues with regulatory functions in mitosis and apoptosis.",26676,Essential role of survivin in maternal beta cell mass expansion.,9.55
7867,Does dichoptic multifocal pupillography reveal afferent visual field defects in early type 2 diabetes?,"Reasonable diagnostic power was obtained, especially for the 16 eyes that had had T2D for more than 10 years, inferring that even in the near absence of visible diabetic retinopathy, some retinal damage had been sustained. This result, if confirmed in a wider group, suggests the that the method may be clinically useful in screening for early damage to the retina in T2D diabetes.","Multifocal pupillographic perimetry was used to examine differences in the visual fields of 23 subjects with early type 2 diabetes (T2D) and 23 age- and sex-matched control subjects. Independent stimuli were delivered to 44 regions of each eye while pupil responses were recorded with infrared cameras. The stimuli were presented in 8 segments of 30 seconds, and both eyes of each subject were tested twice.",26680,"We hypothesize that type 2 diabetic patients with DPN exhibit visual sensitivity loss in a distinctive pattern across the visual field, compared with a control group.",16.788461538461537
7868,Does tNF-alpha mediated apoptosis play an important role in the development of early diabetic retinopathy and long-term histopathological alterations?,"Our study identifies an important role for TNF-alpha in the pathogenesis of signature diabetic retinopathy pathologies and demonstrates that etanercept can inhibit retinal cell death and long-term complication of diabetes. Taken together, our results suggest that etanercept could prove beneficial in preventing both early and late vascular diabetic complications.","The pathophysiology of diabetic retinopathy involves leukocyte adhesion to retinal vasculature, early blood-retinal barrier breakdown, capillary nonperfusion, and endothelial cell death. We investigated the involvement of tumor necrosis factor alpha (TNF-alpha) in diabetes-related histopathological changes in two relevant rodent models. In short-term studies, Long-Evans rats with streptozotocin-induced diabetes were treated with or without the TNF-alpha inhibitor, etanercept.",26683,TNF-alpha mediates neuronal apoptosis through Akt in the retinas of diabetic rats.,11.706666666666667
7869,Is insomnia with objective short sleep duration associated with type 2 diabetes?,"Insomnia with short sleep duration is associated with increased odds of diabetes. Objective sleep duration may predict cardiometabolic morbidity of chronic insomnia, the medical impact of which has been underestimated.","We examined the joint effects of insomnia and objective short sleep duration, the combination of which is associated with higher morbidity, on diabetes risk. A total of 1,741 men and women randomly selected from Central Pennsylvania were studied in the sleep laboratory. Insomnia was defined by a complaint of insomnia with duration of ≥1 year, whereas poor sleep was defined as a complaint of difficulty falling asleep, staying asleep, or early final awakening.",26687,Insomnia and objective short sleep duration are associated with increased risk of type 2 diabetes.,13.860000000000003
7870,Does hypothalamic involvement predict cardiovascular risk in adults with childhood onset craniopharyngioma on long-term GH therapy?,"Adult patients with CO craniopharyngioma, especially those with TGTV, have persistently increased CVD risk. Conventional hormone substitution, including GH, is insufficient to normalize CVD risk, suggesting an important role for irreversible hypothalamic dysfunction.","Craniopharyngioma patients without GH therapy are at an increased cardiovascular disease (CVD) risk and particularly concerning women. No previous study on long-term GH therapy in adults with childhood onset (CO) craniopharyngioma was identified. To investigate CVD risk in adults with CO craniopharyngioma on complete hormone replacement, including long-term GH therapy, and to investigate the impact of disease-related factors on CVD risk.",26690,Adults with childhood-onset craniopharyngioma on long-term GH therapy are at an increased risk of cardiovascular disease and particularly concerning women.,17.580000000000002
7871,Do modification of diet in renal disease and Cockcroft-Gault formulas predict mortality ( ZODIAC-6 )?,"Using estimates of renal function to assess mortality risk decreases predictability as compared with the combination of the risk factors they contain. These formulas, therefore, could be used to estimate renal function; however, they should not be used as a tool to predict mortality risk.","An inverse relationship between estimates of renal function, with formulas such as the Modification of diet in renal disease (MDRD) study equation or the Cockcroft-Gault formula, and mortality has been suggested. These formulas both contain the variables sex, serum creatinine and age and the latter also contains body weight. We investigated whether these formulas predict mortality better than the variables they contain together in patients with Type 2 diabetes.",26694,Modification of diet in renal disease and Cockcroft-Gault formulas predict mortality in diabetic subjects.,17.684285714285718
7872,Does eNU mutagenesis identify mice with morbid obesity and severe hyperinsulinemia caused by a novel mutation in leptin?,"Thus, our evolutionary, structural, and in vivo metabolic information suggests the residue 145 as of special function significance. The mouse model harboring leptin V145E mutation will provide new information on the current understanding of leptin biology and novel mouse model for the study of human obesity syndrome.","Obesity is a multifactorial disease that arises from complex interactions between genetic predisposition and environmental factors. Leptin is central to the regulation of energy metabolism and control of body weight in mammals. To better recapitulate the complexity of human obesity syndrome, we applied N-ethyl-N-nitrosourea (ENU) mutagenesis in combination with a set of metabolic assays in screening mice for obesity.",26698,eNU mutagenesis identify mice with morbid obesity and severe hyperinsulinemia caused by a novel mutation in leptin gene.,17.652222222222225
7873,Does deletion of CDKAL1 affect mitochondrial ATP generation and first-phase insulin exocytosis?,"We provide the first report describing the function of CDKAL1 in β cells. Our results indicate that CDKAL1 controls first-phase insulin exocytosis in β cells by facilitating ATP generation, K(ATP) channel responsiveness and the subsequent activity of Ca(2+) channels through pathways other than CDK5-mediated regulation.","A variant of the CDKAL1 gene was reported to be associated with type 2 diabetes and reduced insulin release in humans; however, the role of CDKAL1 in β cells is largely unknown. Therefore, to determine the role of CDKAL1 in insulin release from β cells, we studied insulin release profiles in CDKAL1 gene knockout (CDKAL1 KO) mice. Total internal reflection fluorescence imaging of CDKAL1 KO β cells showed that the number of fusion events during first-phase insulin release was reduced.",26702,CDKAL1 gene knockout affects insulin release from  cells.,8.180000000000003
7874,Is nonalcoholic fatty liver disease associated with insulin resistance in a young Hispanic population?,These results suggest that NAFLD is associated with insulin resistance and extrahepatic adiposity in nondiabetic young Hispanic population.,"To investigate whether nonalcoholic fatty liver disease (NAFLD) is associated with insulin resistance (IR) in a young Hispanic population. A cross-sectional study was performed in Bogotá, Colombia, during 2006 in 263 males from the Colombian Air Force (age range 29-54 years). Anthropometric measurements and biochemical determinations (glycemia, lipid profile, insulin, and HOMA-IR) were obtained in order to determine the presence of metabolic syndrome (MS) criteria and insulin resistance in this population.",26705,Nonalcoholic fatty liver disease is associated with insulin resistance in a young Hispanic population.,18.52714285714286
